titles,years,genres,imdb,runtime,description,stars,votes,type,original
DeRay Davis: How to Act Black,2017,Comedy,6.1,66 min,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man.","Marcus Raboy, DeRay Davis",381,TV Show,Netflix
David Cross: Making America Great Again,2016,Comedy,6.5,74 min,"Actor/comedian David Cross skewers Donald Trump, takes shots at religious taboos and American swagger in a hilarious yet provocative night of comedy at the Paramount Theatre in Austin, TX.","Alex Coletti, David Cross","1,509",TV Show,Netflix
David Batra: Elefanten i Rummet,2020,Comedy,5.8,77 min,Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.,"David Batra, Jon Rudberg, David Batra",144,TV Show,Netflix
Dave Chappelle: The Bird Revelation,2017,Comedy,7.9,49 min,Dave jokes about the sexual assaults dominating the 2017 entertainment news and how and why people allow themselves to be abused.,"Stan Lathan, Dave Chappelle","7,909",TV Show,Netflix
Dave Chappelle: Sticks & Stones,2019,Comedy,8.5,65 min,"Dave Chappelle takes on gun culture, the opioid crisis, and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta.","Stan Lathan, Dave Chappelle","21,075",TV Show,Netflix
Dave Chappelle: Equanimity,2017,Comedy,8.2,60 min,"Dave talks about not actually growing up in the projects, the hate he received from the transgender community, and from fake news.","Stan Lathan, Dave Chappelle, Donnell Rawlings","9,501",TV Show,Netflix
Dany Boon: Des Hauts-De-France,2018,Comedy,,113 min,Add a Plot,"Isabelle Nanty, Dany Boon",64,TV Show,Netflix
Daniel Sosa: Sosafado,2017,Comedy,5.3,77 min,Add a Plot,"Raúl Campos, Jan Suter, Daniel Sosa",79,TV Show,Netflix
Daniel Sosa: Maleducado,2019,Comedy,6.8,54 min,"In his second comedy special, Daniel Sosa reflects on his childhood, Mexican traditions and the problem with the movie Coco.","Marcos Bucay, Alex Díaz, Daniel Sosa",45,TV Show,Netflix
"Dana Carvey: Straight White Male, 60",2016,Comedy,6.4,64 min,"Emmy-winning comedy legend Dana Carvey returns to the stage with a routine that blends pitch-perfect impressions of big personalities with so-true-it-hurts stories about being a dad of millennials, the joys of aging, and pharmaceuticals.","Marcus Raboy, Dana Carvey, Dex Carvey, Thomas Carvey","1,341",TV Show,Netflix
D.L. Hughley: Contrarian,2018,Comedy,6.5,58 min,"Hughley keeps his audience in hysterics as he tells it like it is about the hypocrisy of racism in America, being a man during the #MeToo movement, why cell phones are ruining relationships, and parents who don't follow warning signs.","Jay Chapman, D.L. Hughley",525,TV Show,Netflix
Cristela Alonzo: Lower Classy,2017,Comedy,6.3,66 min,She's no stranger to breaking glass ceilings. She's also not opposed to cleaning them.,"Marcus Raboy, Cristela Alonzo",762,TV Show,Netflix
Craig Ferguson: Tickle Fight,2017,Comedy,6.6,66 min,"Cheeky comic Craig Ferguson keeps it casual as he discusses 1970's porn, Japanese toilets and his mildly crime-filled days as a talk show host.","Jay Chapman, Craig Ferguson",881,TV Show,Netflix
Craig Ferguson: I'm Here to Help,2013,"Documentary, Comedy",7.2,81 min,"Craig Ferguson wants to tell a joke. And he'll try to finish the joke. But he may not remember to get to the punchline, because he's distracted by hysterical thoughts of fatherhood, Helen ... See full summary »","Jay Chapman, Craig Ferguson",749,TV Show,Netflix
Colin Quinn: The New York Story,2016,Comedy,6.8,62 min,Colin Quinn discusses the origins of New York and how it got its unique personality.,"Jerry Seinfeld, Colin Quinn",900,TV Show,Netflix
Coco y Raulito: Carrusel de ternura,2018,Comedy,6.6,,Add a Plot,"Raúl Campos, Jan Suter, Coco Celis, Raúl Meneses",35,TV Show,Netflix
Christina P: Mother Inferior,2017,Comedy,6.3,59 min,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.","Jay Karas, Christina Pazsitzky",806,TV Show,Netflix
Chris Tucker Live,2015,"Documentary, Comedy",6.3,92 min,"In this Netflix special, Chris Tucker returns to the stage he loves and showcases his mind-blowing comedic chops as he shares his experiences from childhood to the big time.","Phil Joanou, Chris Tucker","1,743",TV Show,Netflix
Chris Rock: Tamborine,2018,Comedy,6.6,64 min,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics.","Bo Burnham, Chris Rock, Spike Lee","5,826",TV Show,Netflix
Chris D'Elia: No Pain,2020,Comedy,5.9,55 min,Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.,"Matt D'Elia, Chris D'Elia","1,550",TV Show,Netflix
Chris D'Elia: Man on Fire,2017,Comedy,6.6,65 min,"Actor and comic Chris D'Elia delivers a hilarious take down of life's greatest pitfalls in his Netflix Original comedy special ""Chris D'Elia: Man on Fire.""","Bill D'Elia, Chris D'Elia","1,567",TV Show,Netflix
Chris D'Elia: Incorrigible,2015,Comedy,6.5,83 min,"Stand-up comedian Chris D'Elia covers everything from grown-up babies, to evil dating and an NFL with real giants, lions and bears, oh my!","Bill D'Elia, Chris D'Elia","1,388",TV Show,Netflix
Chelsea Peretti: One of the Greats,2014,Comedy,7,74 min,Writer/actress/comedienne Chelsea Peretti presents a re-imagining of the hour-long special.,"Lance Bangs, Chelsea Peretti, William Armando, Eric Andrew, Geo Espilanty","2,135",TV Show,Netflix
Cedric the Entertainer: Live from the Ville,2016,Comedy,5.9,60 min,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""","Troy Miller, Cedric the Entertainer, Tennessee State University Marching Band",635,TV Show,Netflix
Carlos Ballarta: Furia ñera,2018,Comedy,7.1,,Add a Plot,"Raúl Campos, Jan Suter, Carlos Ballarta",159,TV Show,Netflix
Carlos Ballarta: El amor es de putos,2016,Comedy,7.1,,Add a Plot,"Raúl Campos, Jan Suter, Carlos Ballarta",186,TV Show,Netflix
Brian Regan: Nunchucks and Flamethrowers,2017,"Documentary, Comedy",6.2,61 min,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.","Troy Miller, Brian Regan",539,TV Show,Netflix
Brent Morin: I'm Brent Morin,2015,Comedy,6.5,67 min,"In a witty solo show, Brent Morin serves up infectious laughs on the agony of puberty, hot guy problems and the time his girlfriend dumped him for a magician.","Lance Bangs, Brent Morin",607,TV Show,Netflix
Brad Paisley's Comedy Rodeo,2017,Comedy,5.5,63 min,"Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield.","Jay Chapman, Brad Paisley, Nate Bargatze, John Heffron, Reba McEntire",121,TV Show,Netflix
Bo Burnham: Make Happy,2016,"Comedy, Music",8.4,60 min,"Bo Burnham tackles life, death, sexuality, hypocrisy, mental illness and Pringles cans in his dazzling new stand-up special.","Bo Burnham, Christopher Storer, Bo Burnham","8,319",TV Show,Netflix
Bill Burr: You People Are All the Same.,2012,Comedy,8.3,69 min,"Funnyman Bill Burr takes the stage to uncork a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more.","Jay Karas, Bill Burr, Paul Virzi","6,152",TV Show,Netflix
Bill Burr: Walk Your Way Out,2017,Comedy,7.3,77 min,"Comedian Bill Burr takes the stage in Nashville and riffs on such topics as overpopulation, fast food, dictators and gorilla sign language.","Jay Karas, Bill Burr","5,970",TV Show,Netflix
Bill Burr: Paper Tiger,2019,Comedy,8.2,67 min,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.","Mike Binder, Bill Burr","8,262",TV Show,Netflix
Bill Burr: I'm Sorry You Feel That Way,2014,Comedy,8.4,80 min,Comedian Bill Burr's 2014 stand-up comedy special.,"Jay Karas, Bill Burr","6,705",TV Show,Netflix
Bert Kreischer: Secret Time,2018,Comedy,7.4,57 min,"Bert regales the audience at the Trocadero Theatre with stories about zip-lining with his family, his daughter practicing softball with an imaginary ball, and upstaging ex-NBA player Ralph Sampson at a childhood basketball camp.","Todd Biermann, Bert Kreischer","1,852",TV Show,Netflix
Bert Kreischer: Hey Big Boy,2020,Comedy,7.1,62 min,"Overweight comedian Bert Kreischer laughs at his own jokes about black people in Starbucks, watching porn while in the closet, finding out Hitler was wrong, and more.","Jeff Tomsic, Bert Kreischer","1,409",TV Show,Netflix
Ben Platt Live from Radio City Music Hall,2020,Music,8.3,85 min,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage - numbers from his debut LP, ""Sing to Me Instead.""","Alex Timbers, Sam Wrench, Ben Platt, Crystal Monee Hall, Kojo Littles, Allen René Louis",332,TV Show,Netflix
Barbra: The Music... The Mem'ries... The Magic!,2017,Music,7.5,110 min,"Barbra Streisand's film concert event finds the legend joined by a roster of special guests, as she takes audiences on a journey of her life's work, like a stroll down mem'ry lane with a good friend.","Jim Gable, Barbra Streisand, Barbra Streisand, Stephanie 'Stevvi' Alexander, Alec Baldwin, James Brolin",368,TV Show,Netflix
Aziz Ansari: Right Now,2019,Comedy,7.5,65 min,"Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.","Spike Jonze, Aziz Ansari","4,247",TV Show,Netflix
Aziz Ansari: Buried Alive,2013,Comedy,7.3,80 min,"Aziz Ansari focuses his unique viewpoint on pending adulthood, babies, marriage and love in the modern era.","Will Lovelace, Dylan Southern, Aziz Ansari","3,612",TV Show,Netflix
Aziz Ansari Live in Madison Square Garden,2015,Comedy,6.6,58 min,"Stand-up comedian and TV star Aziz Ansari delivers his sharp witted take on immigrants, relationships and the food industry.","Aziz Ansari, Patrick Cotnoir","2,911",TV Show,Netflix
Ashley Garcia: Genius in Love,2020,Comedy,8.2,,15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.,"Jencarlos Canela, Paulina Chávez, Conor Husting, Chelsea Kane",66,TV Show,Netflix
Arsenio Hall: Smart and Classy,2019,Comedy,6,63 min,"Arsenio Hall performs his first stand-up comedy special, filmed live in San Jose, California in April 2019.","Brian Volk-Weiss, Arsenio Hall",368,TV Show,Netflix
Ari Shaffir: Double Negative,2016,Comedy,6.8,,"Comedian Ari Shaffir steps outside of his yamaka to expose the uncomfortable truth that children are trash, and becoming an adult also brings about its own greasy problems.","Eric Abrams, Ari Shaffir",635,TV Show,Netflix
Arango y Sanint: Ríase el show,2018,Comedy,4,,Add a Plot,"Raúl Campos, Jan Suter, Julián Arango, Antonio Sanint",40,TV Show,Netflix
Anthony Jeselnik: Fire in the Maternity Ward,2019,Comedy,7.2,64 min,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.","Marcus Raboy, Anthony Jeselnik","2,718",TV Show,Netflix
Anjelah Johnson: Not Fancy,2015,"Documentary, Comedy",5.8,90 min,"Angelah Johnson waxes about religion, married life, travel, and food among other topics in this new laugh out loud and family friendly stand up special taped live in California.","Jay Karas, Anjelah Johnson-Reyes",595,TV Show,Netflix
Amy Schumer: The Leather Special,2017,Comedy,2.9,57 min,"Three minutes into her set, Amy Schumer claims that all good comedians have a ""leather special,"" where they wear all leather and regret it later in their careers--this is hers. Amy muses on... See full summary »","Amy Schumer, Amy Schumer, Kim Caramele","9,243",TV Show,Netflix
Amy Schumer: Growing,2019,Comedy,5.2,60 min,"Amy Schumer's live stand-up set performed in Chicago where she jokes about marriage, pregnancy and personal growth.","Amy Schumer, Amy Schumer","3,412",TV Show,Netflix
Amit Tandon: Family Tandoncies,2019,Comedy,7.1,72 min,Add a Plot,Amit Tandon,166,TV Show,Netflix
Ali Wong: Hard Knock Wife,2018,Comedy,7.4,64 min,Comedian Ali Wong performs her live stand-up set at Toronto's Winter Garden Theatre.,"Jay Karas, Ali Wong","3,807",TV Show,Netflix
Ali Wong: Baby Cobra,2016,Comedy,7.5,60 min,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible.","Jay Karas, Ali Wong","5,646",TV Show,Netflix
Alexis de Anda: Mea culpa,2017,Comedy,4.8,60 min,Add a Plot,"Raúl Campos, Jan Suter, Alexis de Anda",83,TV Show,Netflix
Alex Fernández: The Best Comedian in the World,2020,Comedy,6.1,51 min,Add a Plot,"Alex Díaz, Alex Fernández",100,TV Show,Netflix
Alejandro Riaño: Especial de stand-up,2018,Comedy,4.9,,"Colombian comedian Alejandro Riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogotá men and soccer game announcers.","Raúl Campos, Jan Suter, Alejandro Riaño",57,TV Show,Netflix
Agustín Aristarán: Soy Rada,2018,Comedy,6.8,,"The Argentine comedian Agustín ""Radagast"" Aristarán combines magic and music and in a performance full of energy.","Mariano Baez, Mago Radagast",91,TV Show,Netflix
Afonso Padilha: Classless,2020,Comedy,6.3,63 min,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.,"Rudge Campos, Junior Carelli, Afonso Padilha",101,TV Show,Netflix
Aditi Mittal: Things They Wouldn't Let Me Say,2017,Comedy,4.4,62 min,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.","Fazila Allana, Aditi Mittal",298,TV Show,Netflix
Adel Karam: Live from Beirut,2018,Comedy,5.3,59 min,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a memorable trip to Africa.","Mohamed Khalifa, Adel Karam",123,TV Show,Netflix
Adam Sandler: 100% Fresh,2018,"Comedy, Music",7.6,73 min,"Adam Sandler takes his comical musical musings back out on the road, from comedy clubs to concert halls to one very unsuspecting subway station.","Steven Brill, Nicholaus Goossen, Adam Sandler, Rob Schneider, Dan Bulla","4,504",TV Show,Netflix
Adam Devine: Best Time of Our Lives,2019,Comedy,5.7,58 min,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.","Jay Karas, Adam Devine",823,TV Show,Netflix
A Very Murray Christmas,2015,"Comedy, Music, Musical",5.5,56 min,Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.,"Sofia Coppola, Bill Murray, Paul Shaffer, Michael Cera, George Clooney","13,695",TV Show,Netflix
A Toot-Toot Cory Carson Halloween,2020,"Animation, Short, Family",5.2,24 min,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween. But are all the treats worth the trek to the spooky side of town?","Stanley Moore, Alex Woo, Ella Joy Ballesteros, Maisie Benson, Smith Foreman, Kerry Gudjohnsen",24,TV Show,Netflix
YG Future Strategy Office,2018,Comedy,7.1,,"Sitcom taking place inside the newly formed Future Strategy Office, where trouble-making employees are sent.","Amy Aleha, Kim Jinwoo, Ga-eun Kim, Jai-jin Lee",181,TV Show,Netflix
